순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용,위도,경도
9524,LG베스트샵 둔산중앙본점,중소폐가전,수거함 설치,대전광역시 서구 대덕대로 232 ,LG베스트샵,무상,36.353535,127.37993
9535,LG베스트샵 서대전점,중소폐가전,수거함 설치,대전광역시 중구 서문로 133 ,LG베스트샵,무상,36.3091788,127.4081024
11720,노은3동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 지족동로 145 (지족동) ,"지자체(구청, 행정복지센터 등)",무상,36.3792318,127.3051357
11722,대덕테크노밸리 푸르지오하임 1단지,중소폐가전,수거함 설치,대전 유성구 배울2로 134 (용산동) ,공동주택(아파트 등),무상,36.4199214,127.3947444
11724,대림두레아파트 ,중소폐가전,수거함 설치,대전 유성구 가정로 65 (신성동) ,공동주택(아파트 등),무상,36.3867671,127.3507372
11727,반석마을 2단지 ,중소폐가전,수거함 설치,대전 유성구 지족로 343 (지족동) ,공동주택(아파트 등),무상,36.3791161,127.3031983
11728,반석마을 3단지,중소폐가전,수거함 설치,대전 유성구 지족로 362 (지족동) ,공동주택(아파트 등),무상,36.3791161,127.3031983
11733,송강마을2단지,중소폐가전,수거함 설치,대전 유성구 봉산로 39 (송강동) ,공동주택(아파트 등),무상,36.4370976,127.3858456
11736,송림마을 4단지 ,중소폐가전,수거함 설치,대전 유성구 노은로 358 (하기동) ,공동주택(아파트 등),무상,36.3844534,127.3398798
11749,원신흥동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 봉명로 27-18 (원신흥동) ,"지자체(구청, 행정복지센터 등)",무상,36.3421689,127.3433397
11754,전민동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 유성대로 1719 (전민동) ,"지자체(구청, 행정복지센터 등)",무상,36.4000588,127.4004016
11758,청구나래아파트 ,중소폐가전,수거함 설치,대전 유성구 엑스포로 501 (전민동) ,공동주택(아파트 등),무상,36.3758814,127.3970146
11765,그린타운,중소폐가전,수거함 설치,대전 대덕구 동춘당로 151 ,공동주택(아파트 등),무상,36.3601613,127.4473792
11766,금성백조 제2차,중소폐가전,수거함 설치,대전 대덕구 비래동로 44 ,공동주택(아파트 등),무상,36.3560695,127.4502528
11771,라이프 새여울,중소폐가전,수거함 설치,대전 대덕구 대청로64번길 11 ,공동주택(아파트 등),무상,36.4529986,127.4355285
11772,모아미래도,중소폐가전,수거함 설치,대전 중구 유등천동로 218 ,공동주택(아파트 등),무상,36.3384085,127.4031254
11773,문화극동아파트,중소폐가전,수거함 설치,대전 중구 송리로 6 ,공동주택(아파트 등),무상,36.3083866,127.4013867
11774,문화로얄아파트,중소폐가전,수거함 설치,대전 중구 서문로43번길 39 ,공동주택(아파트 등),무상,36.3130566,127.4059865
11776,버드내아파트,중소폐가전,수거함 설치,대전 중구 태평로 15 ,공동주택(아파트 등),무상,36.3179661,127.3915352
11777,법동주공아파트(3단지),중소폐가전,수거함 설치,대전 대덕구 계족로663번길 34 ,공동주택(아파트 등),무상,36.3687529,127.4276033
11778,보람아파트(1단지),중소폐가전,수거함 설치,대전 대덕구 동춘당로 178 ,공동주택(아파트 등),무상,36.3601613,127.4473792
11780,삼부1단지아파트,중소폐가전,수거함 설치,대전 중구 태평로 80 ,공동주택(아파트 등),무상,36.3187273,127.3921212
11781,삼익둥지아파트,중소폐가전,수거함 설치,대전 대덕구신상로21 ,공동주택(아파트 등),무상,36.356609,127.455778
11784,삼호아파트,중소폐가전,수거함 설치,대전 대덕구 비래서로 42 ,공동주택(아파트 등),무상,36.3555412,127.4452437
11785,서오아파트,중소폐가전,수거함 설치,대전 대덕구 동춘당로23번길 13 ,공동주택(아파트 등),무상,36.3589069,127.4447567
11787,선비마을2단지,중소폐가전,수거함 설치,대전 대덕구 동춘당로114번길 47 ,공동주택(아파트 등),무상,36.3678528,127.4396556
11788,선비마을3단지,중소폐가전,수거함 설치,대전 대덕구 동춘당로114번길 60 ,공동주택(아파트 등),무상,36.3678528,127.4396556
11789,선비마을4단지,중소폐가전,수거함 설치,대전 대덕구 계족산로 135 ,공동주택(아파트 등),무상,36.3674232,127.4427716
11790,선비마을5단지,중소폐가전,수거함 설치,대전 대덕구 계족산로 136 ,공동주택(아파트 등),무상,36.3616298,127.4325109
11791,선비바을(4단지),중소폐가전,수거함 설치,대전 대덕구 계족산로 135 ,공동주택(아파트 등),무상,36.3674232,127.4427716
11792,선화2참좋은아파트,중소폐가전,수거함 설치,대전 중구 대전천서로 529 ,공동주택(아파트 등),무상,36.3109787,127.4434559
11797,옥계 한양그린맨션아파트,중소폐가전,수거함 설치,대전 중구 학고개로57번길 82 ,공동주택(아파트 등),무상,36.2951321,127.453851
11798,용방마을 아파트,중소폐가전,수거함 설치,대전 동구 용운로 80 ,공동주택(아파트 등),무상,36.3259027,127.4544579
11805,중촌금호아파트,중소폐가전,수거함 설치,대전 중구 대종로 713 ,공동주택(아파트 등),무상,36.3018375,127.452074
11806,중촌동금성백조아파트,중소폐가전,수거함 설치,대전 중구 중촌로 31 ,공동주택(아파트 등),무상,36.3390129,127.4103181
11807,큰솔6차아파트,중소폐가전,수거함 설치,대전 중구 대둔산로 512 ,공동주택(아파트 등),무상,36.3059497,127.3866923
11810,평화듀오빌아파트,중소폐가전,수거함 설치,대전 중구 보문로230번길 32 ,공동주택(아파트 등),무상,36.323853,127.4250517
11815,한신휴플러스,중소폐가전,수거함 설치,대전 대덕구 비래서로10번길 21 ,공동주택(아파트 등),무상,36.3533819,127.4445484
11816,현대아파트,중소폐가전,수거함 설치,대전 대덕구 우암로 394 ,공동주택(아파트 등),무상,36.3595647,127.4483092
11817,현대아파트,중소폐가전,수거함 설치,대전 대덕구 우암로 394 ,공동주택(아파트 등),무상,36.3595647,127.4483092
11818,계룡아파트,중소폐가전,수거함 설치,대전 서구 가수원로 98 ,공동주택(아파트 등),무상,36.297567,127.3540526
11819,국화라이프,중소폐가전,수거함 설치,대전 서구 둔산로 201 ,공동주택(아파트 등),무상,36.3522124,127.4003121
11820,금호한사랑아파트,중소폐가전,수거함 설치,대전 중구 동서대로 1388 ,공동주택(아파트 등),무상,36.3285644,127.4047963
11821,대자연마을아파트,중소폐가전,수거함 설치,대전 서구 관저북로 52 ,공동주택(아파트 등),무상,36.3099818,127.3370094
11822,대흥참좋은아파트,중소폐가전,수거함 설치,대전 중구 대종로 425 ,공동주택(아파트 등),무상,36.3018375,127.452074
11823,도안리슈빌,중소폐가전,수거함 설치,대전 서구 도안동로 123 ,공동주택(아파트 등),무상,36.3139112,127.3496411
11824,도안베르디움,중소폐가전,수거함 설치,대전 서구 원도안로 100 ,공동주택(아파트 등),무상,36.3191876,127.3442853
11825,둥지아파트,중소폐가전,수거함 설치,대전 서구 청사로 254 ,공동주택(아파트 등),무상,36.3598103,127.3880528
11826,린풀하우스,중소폐가전,수거함 설치,대전 서구 도안동로 77 ,공동주택(아파트 등),무상,36.3139112,127.3496411
11828,문화주공3단지아파트,중소폐가전,수거함 설치,대전 중구 산성로 108-23 ,공동주택(아파트 등),무상,36.3065477,127.3924741
11829,백송아파트,중소폐가전,수거함 설치,대전 대덕구 대전로1397번길 79 ,공동주택(아파트 등),무상,36.3789668,127.420324
11830,버드내2단지 동양아파트,중소폐가전,수거함 설치,대전 중구 태평로 35 ,공동주택(아파트 등),무상,36.3187273,127.3921212
11831,산성우성아파트,중소폐가전,수거함 설치,대전 중구 당디로 45 ,공동주택(아파트 등),무상,36.3091525,127.3937789
11832,삼성아파트,중소폐가전,수거함 설치,대전 중구 계룡로 852 ,공동주택(아파트 등),무상,36.3236499,127.4110789
11833,삼정그린코아포레스트1단지,중소폐가전,수거함 설치,대전 동구 동부로10번길 55 ,공동주택(아파트 등),무상,36.3182072,127.4596187
11835,새들뫼2단지,중소폐가전,수거함 설치,대전 동구 계족로 135 ,공동주택(아파트 등),무상,36.3374565,127.4382623
11836,새피앙아파트,중소폐가전,수거함 설치,대전 동구 홍도로46번길 20 ,공동주택(아파트 등),무상,36.3530116,127.4292411
11837,샘머리2단지아파트,중소폐가전,수거함 설치,대전 서구 청사로 281 ,공동주택(아파트 등),무상,36.3598103,127.3880528
11838,선화참좋은아파트,중소폐가전,수거함 설치,대전 중구 대종로 544 ,공동주택(아파트 등),무상,36.3018375,127.452074
11839,선화현대아파트,중소폐가전,수거함 설치,대전 중구 보문로 341 ,공동주택(아파트 등),무상,36.3200242,127.4243819
11840,수목토마을아파트,중소폐가전,수거함 설치,대전 서구 도안동로 177 ,공동주택(아파트 등),무상,36.3139112,127.3496411
11841,신대주공아파트,중소폐가전,수거함 설치,대전 대덕구 신탄진로 217 ,공동주택(아파트 등),무상,36.4364415,127.4256542
11842,쌍용예가아파트,중소폐가전,수거함 설치,대전 중구 평촌로 93 ,공동주택(아파트 등),무상,36.3227596,127.3985073
11843,아아파크아파트,중소폐가전,수거함 설치,대전 서구 도안동로 183 ,공동주택(아파트 등),무상,36.3077465,127.3520816
11845,와동주공아파트,중소폐가전,수거함 설치,대전 대덕구 신탄진로218번길 12 ,공동주택(아파트 등),무상,36.399731,127.425277
11846,용전푸른아파트,중소폐가전,수거함 설치,대전 동구 계족로512번길 96 ,공동주택(아파트 등),무상,36.3555673,127.4355315
11847,월평주공1단지아파트,중소폐가전,수거함 설치,대전 서구 월평북로 11 ,공동주택(아파트 등),무상,36.3622511,127.3769263
11848,월평주공2단지아파트,중소폐가전,수거함 설치,대전 서구 월평북로 11 ,공동주택(아파트 등),무상,36.3622511,127.3769263
11849,월평주공3단지아파트,중소폐가전,수거함 설치,대전 서구 월평북로 11 ,공동주택(아파트 등),무상,36.3622511,127.3769263
11851,은아1단지아파트,중소폐가전,수거함 설치,대전 서구 가수원로 72 ,공동주택(아파트 등),무상,36.297567,127.3540526
11852,은아2단지아파트,중소폐가전,수거함 설치,대전 서구 계백로1158번길 113 ,공동주택(아파트 등),무상,36.30457,127.3529213
11853,은아3단지아파트,중소폐가전,수거함 설치,대전 서구 가수원로 106 ,공동주택(아파트 등),무상,36.3045613,127.3516946
11854,은아5단지아파트,중소폐가전,수거함 설치,대전 서구 가수원로 6 ,공동주택(아파트 등),무상,36.297567,127.3540526
11855,은어송코오롱하늘채2차,중소폐가전,수거함 설치,대전 동구 대전로340번길 15 ,공동주택(아파트 등),무상,36.2984836,127.4602174
11856,이스트시티 1단지,중소폐가전,수거함 설치,대전 동구 동대전로46번길 30 ,공동주택(아파트 등),무상,36.3254574,127.4400252
