순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용,위도,경도
11741,신성동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 신성로 55 (하기동) ,"지자체(구청, 행정복지센터 등)",무상,36.389063698,127.347344708
11742,엘에이치네이처뷰 ,중소폐가전,수거함 설치,대전 유성구 지족로148번길 22 (지족동) ,공동주택(아파트 등),무상,36.377526386,127.302966852
11743,열매마을 11단지 ,중소폐가전,수거함 설치,대전 유성구 왕가봉로 23 (노은동) ,공동주택(아파트 등),무상,36.366358787,127.314859457
11744,열매마을 2단지 ,중소폐가전,수거함 설치,대전 유성구 노은동로 233 (지족동) ,공동주택(아파트 등),무상,36.380258213,127.319651625
11745,열매마을 4단지 ,중소폐가전,수거함 설치,대전 유성구 노은서로210번길 32 (지족동) ,공동주택(아파트 등),무상,36.377706519,127.317249987
11746,열매마을 8단지 ,중소폐가전,수거함 설치,대전 유성구 은구비남로 34 (노은동) ,공동주택(아파트 등),무상,36.371849065,127.319618564
11747,온천1동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 도안대로589번길 35 (봉명동) ,"지자체(구청, 행정복지센터 등)",무상,36.353108093,127.338964372
11748,온천2동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 장대로 120 (장대동) ,"지자체(구청, 행정복지센터 등)",무상,36.365414611,127.333446411
11750,월드컵패밀리타운 ,중소폐가전,수거함 설치,대전 유성구 유성대로783번길 38 (장대동) ,공동주택(아파트 등),무상,36.363491388,127.335537313
11752,장대푸르지오 ,중소폐가전,수거함 설치,대전 유성구 장대로71번길 34 (장대동) ,공동주택(아파트 등),무상,36.360777445,127.333083356
11755,죽동대원칸타빌,중소폐가전,수거함 설치,대전 유성구 죽동로 39 (죽동) ,공동주택(아파트 등),무상,36.36957698,127.333533098
11756,죽동푸르지오 ,중소폐가전,수거함 설치,대전 유성구 죽동로 251 (죽동) ,공동주택(아파트 등),무상,36.373552729,127.340544546
11757,진잠동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 원내로39번길 10 (원내동) ,"지자체(구청, 행정복지센터 등)",무상,36.300253412,127.320333527
11759,테크노밸리 5단지 ,중소폐가전,수거함 설치,대전 유성구 배울2로 42 (관평동) ,공동주택(아파트 등),무상,36.421270587,127.387402283
11760,테크노밸리 6단지,중소폐가전,수거함 설치,대전 유성구 배울2로 78 (관평동) ,공동주택(아파트 등),무상,36.418777952,127.388470133
11761,테크노밸리 9단지 ,중소폐가전,수거함 설치,대전 유성구 배울2로 19 (관평동) ,공동주택(아파트 등),무상,36.422541832,127.385753407
11762,트리풀시티포레 아파트,중소폐가전,수거함 설치,대전 유성구 지족로190번길 36 (지족동) ,공동주택(아파트 등),무상,36.381114876,127.304632828
11763,한울아파트 ,중소폐가전,수거함 설치,대전 유성구 가정로 43 (신성동) ,공동주택(아파트 등),무상,36.38599574,127.347717092
11767,도안7단지예미지아파트,중소폐가전,수거함 설치,대전 유성구 봉명로 94 (봉명동) ,공동주택(아파트 등),무상,36.346264868,127.344648418
11768,도안천년나무11단지,중소폐가전,수거함 설치,대전 유성구 봉명로 16 (원신흥동) ,공동주택(아파트 등),무상,36.340737419,127.345016196
11769,드리움 1단지 ,중소폐가전,수거함 설치,대전 유성구 대정로28번길 50 (대정동) ,공동주택(아파트 등),무상,36.314061207,127.323007268
11770,드리움 2단지 ,중소폐가전,수거함 설치,대전 유성구 대정로28번안길 80 (대정동) ,공동주택(아파트 등),무상,36.312987358,127.321736347
11775,문화마을금호어울림아파트,중소폐가전,수거함 설치,대전 중구 계백로 1716번길 40 ,공동주택(아파트 등),무상,36.319972004,127.41015643
11779,사이언스타운,중소폐가전,수거함 설치,대전 유성구 온천로 60 (봉명동) ,공동주택(아파트 등),무상,36.354454873,127.344242374
11782,삼정하이츠아파트,중소폐가전,수거함 설치,대전 유성구 유성대로668번길 29 (구암동) ,공동주택(아파트 등),무상,36.353489283,127.331777382
11783,삼호아파트,중소폐가전,수거함 설치,대전 대덕구 계족로663번길32 ,공동주택(아파트 등),무상,36.373101059,127.424898777
11786,선비마을(3단지),중소폐가전,수거함 설치,대전 대덕구 동춘당로 114번길 60 ,공동주택(아파트 등),무상,36.367757582,127.441711684
11793,세움펠리피아 ,중소폐가전,수거함 설치,대전 유성구 계룡로52번길 11 (봉명동) ,공동주택(아파트 등),무상,36.354445244,127.336931271
11794,스카이뷰시티,중소폐가전,수거함 설치,대전 유성구 온천북로13번길 21 (봉명동) ,공동주택(아파트 등),무상,36.358054699,127.344398084
11795,신안인스빌리베라 ,중소폐가전,수거함 설치,대전 유성구 봉명로 48 (원신흥동) ,공동주택(아파트 등),무상,36.343356979,127.344429518
11796,영진로얄아파트,중소폐가전,수거함 설치,대전 대덕구 아리랑로211 ,공동주택(아파트 등),무상,36.374924929,127.427188136
11799,운암네오미아아파트,중소폐가전,수거함 설치,대전 유성구 덕명로 26 (덕명동) ,공동주택(아파트 등),무상,36.358348409,127.301072569
11800,유성숲 오투그란데 3차,중소폐가전,수거함 설치,대전 유성구 학하중앙로 60 (덕명동) ,공동주택(아파트 등),무상,36.345736137,127.300889861
11801,유성푸르지오시티 ,중소폐가전,수거함 설치,대전 유성구 온천로 45 (봉명동) ,공동주택(아파트 등),무상,36.35589951,127.343128911
11802,유천1차현대아파트,중소폐가전,수거함 설치,대전 중구 계백로 1615번길 34 ,공동주택(아파트 등),무상,36.322330914,127.400523966
11803,제이파크아파트,중소폐가전,수거함 설치,대전 유성구 진잠로149번길 24 (교촌동) ,공동주택(아파트 등),무상,36.304079478,127.318330865
11804,주공3단지아파트,중소폐가전,수거함 설치,대전 대덕구 계족로663번길34 ,공동주택(아파트 등),무상,36.371351677,127.426174337
11808,트리풀시티 9단지 ,중소폐가전,수거함 설치,대전 유성구 상대남로 26 (상대동) ,공동주택(아파트 등),무상,36.341707496,127.335084206
11809,판암 참좋은 아파트,중소폐가전,수거함 설치,대전 동구 옥천로 180번길 67 ,공동주택(아파트 등),무상,36.314676884,127.460812531
11811,평화로운아파트,중소폐가전,수거함 설치,대전 대덕구 대덕대로 1520번길 77 ,공동주택(아파트 등),무상,36.445982967,127.415717262
11812,하우스토리아파트,중소폐가전,수거함 설치,대전 유성구 덕명로 63 (덕명동) ,공동주택(아파트 등),무상,36.358176275,127.305821704
11813,한빛아파트 ,중소폐가전,수거함 설치,대전 유성구 어은로 57 (어은동) ,공동주택(아파트 등),무상,36.364559667,127.354792429
11814,한승미메이드아파트,중소폐가전,수거함 설치,대전 유성구 진잠로149번길 30 (교촌동) ,공동주택(아파트 등),무상,36.306966845,127.318913128
11827,문화주공1단지아파트,중소폐가전,수거함 설치,대전 중구 보문산로 161번길 55 ,공동주택(아파트 등),무상,36.307564102,127.397446087
11834,삼정하이츠타운아파트,중소폐가전,수거함 설치,대전 대덕구 계족로663번길30 ,공동주택(아파트 등),무상,36.372884594,127.427085822
11844,영진상록아파트,중소폐가전,수거함 설치,대전 대덕구 계족로521번길 79(중리동) ,공동주택(아파트 등),무상,36.35811537,127.428505388
11850,유원아파트,중소폐가전,수거함 설치,대전 대덕구 계족로663번길23 ,공동주택(아파트 등),무상,36.370348786,127.427610942
11860,주공2단지아파트,중소폐가전,수거함 설치,대전 대덕구 계족로663번길29 ,공동주택(아파트 등),무상,36.369612702,127.426140724
11861,중촌현대아파트,중소폐가전,수거함 설치,대전 중구 목중로 26번길 29 ,공동주택(아파트 등),무상,36.336976312,127.411797301
11868,한신휴플러스보로미아파트(2개 단지),중소폐가전,수거함 설치,대전 중구 계백로 1686번길 16 ,공동주택(아파트 등),무상,36.320415555,127.40658443




